조사년도,해역,연안명칭,수온 표층,수온 저층,염분 표층,염분 저층,수소이온농도 표층,수소이온농도 저층,용존산소량 표층,용존산소량 저층,화학적산소요구량 표층,화학적산소요구량 저층,암모니아질소 표층,암모니아질소 저층,아질산성 질소 표층,아질산성 질소 저층,질산성질소 표층,질산성질소 저층,용존무기질소 표층,용존무기질소 저층,총질소 표층,총질소 저층,용존무기인 표층,용존무기인 저층,총인 표층,총인 저층,규산규소 표층,규산규소 저층,부유물질 표층,부유물질 저층,클로필드 표층,클로필드 저층,투명도 표층
2017,서해,군산연안,15.1,14.63,29.02,31,8.08,8.1,8.5,8.29,1.83,2.12,19.25,16.86,15,8.12,186.7,108.92,220.95,133.9,435.87,298.2,18.72,16.94,35.23,32.72,580.57,455.58,20.36,24.97,3.39,2.73,1.79
2017,서해,보령연안,15.19,14.83,32.05,32.06,8.16,8.16,8.84,8.79,1.51,1.67,3.08,3.02,1.78,1.69,34.34,34.48,39.2,39.19,184.2,206.14,12.05,12.34,21.19,23.37,246.73,250.01,10.83,15.34,2.49,2.21,2.59
2017,서해,천수만,15.24,14.81,32.05,32.06,8.17,8.17,8.96,8.81,1.44,1.82,7.82,9.07,2.97,3.1,20.98,22.77,31.77,34.94,199.4,199.37,11.37,11.47,22.42,23.43,271.46,275.73,12.55,13.6,3.1,2.82,2.65
2017,서해,태안연안,13.6,13.45,32.06,32.1,8.16,8.16,9.24,9.22,1.32,1.65,2.94,4,3.71,4.55,75.07,70.88,81.73,79.43,214.97,210.87,17.63,16.29,24.37,23.13,239.93,224.77,11.81,13.74,1.84,2,3.46
2017,서해,가로림연안,12.98,12.89,31.95,31.96,8.11,8.12,9.22,9.22,1.41,1.68,1.93,2.81,6.75,7.01,119.2,105.5,127.89,115.32,256.59,264.59,20.94,17.46,29.07,29.28,259.02,219.04,19.6,23.16,1.63,1.88,1.72
2017,서해,대산연안,13.61,13.52,31.58,31.58,8.12,8.13,9.11,9.06,1.6,1.76,2.14,2.2,8.07,8.65,123.87,120.17,134.08,131.03,270.08,287.14,20.04,18.43,28.55,29.15,269.99,258.15,17.73,23.23,1.39,1.78,1.7
2017,서해,아산연안,13.94,13.67,31.07,31.18,8.09,8.11,8.99,8.98,1.37,2.14,6.85,5.97,18.69,17.4,160.8,153.23,186.35,176.61,358.61,350.68,24.84,21.56,35.48,36.67,382.65,355.93,14.46,32.83,1.6,2.05,1.53
2017,서해,인천연안,14.25,14.1,30.69,30.78,8.11,8.11,9.18,9.18,1.57,2.02,54.57,49.63,17.51,16.82,210.77,189.1,282.85,255.55,450.46,434.67,22.24,17.07,45.37,46.58,332.82,510.08,29.01,38.45,2.31,2.96,1.4
2017,서해,시화호,15.28,15.11,29.89,30.09,7.81,7.81,8.74,8.53,1.77,2.45,98.69,97.82,35.44,32.38,221.61,205.31,355.73,335.51,712.08,654,35.99,35.46,76.04,61.69,571.4,521.64,7.81,10.35,2.29,2.05,1.81
2017,동해,거진항,15.9,15.91,32.5,33.08,8.21,8.22,8.22,8.06,1.41,1.21,14.75,5.95,3.47,2.41,109.74,63.83,127.95,72.18,241.61,217.57,7.79,12.35,24.74,45.52,368.16,311.33,11.7,16.73,2.47,1.71,3.75
2017,동해,속초항,16.43,16.53,32.23,33.08,8.2,8.24,8.4,8.12,1.48,1.3,17.55,9.19,6.05,2.23,90.83,48.49,114.42,59.91,233.33,188.83,7.66,10.49,23.42,29.02,225.32,227.56,6.81,5.59,1.93,1.03,3.98
2017,동해,주문진항,16.7,16.65,32.28,32.94,8.09,8.15,7.62,7.76,1.3,1.07,23.68,11.98,4.68,1.86,67.85,34.35,96.22,48.18,274.6,205.12,16.26,13,31.59,18.9,33.25,298.8,4.08,9.95,0.95,0.79,4.55
2017,동해,묵호항,16.8,16.26,33.13,33.61,8.2,8.22,8.3,8.17,1.3,1.12,5.77,4.73,4.12,3.61,82.47,47.08,92.36,55.41,247.45,168.21,9.71,11.82,21.16,20.39,144.49,234.3,6.71,8.1,1.33,1.3,6.38
2017,동해,삼척항,17.37,17.26,32.61,32.93,8.21,8.23,8.27,8.18,1.39,1.47,7.23,5.61,3.36,2.43,133.11,57.56,143.7,65.6,226.85,189.26,10.11,11.69,16.19,18.77,57.41,216.25,6.1,11.53,0.8,0.79,5.3
2017,동해,죽변항,18.08,17.62,32.87,33.16,8.17,8.17,7.43,7.21,1.77,1.51,10.22,11.93,4.3,3.4,55.03,42.61,69.55,57.94,237.5,181.34,13.9,17.08,26.46,25.34,176.78,284.8,3.23,15.43,1.83,1.3,4.55
2017,동해,후포항,16.41,13.04,33.68,34.25,8.24,8.2,8.78,8.27,1.54,1.33,5.78,7.09,3.12,3.08,26.12,39.96,35.01,50.13,208.05,178.22,10.09,13.73,15.28,16.99,47.95,201.85,5.28,6.83,1.14,2.11,6.5
2017,동해,축산항,16.12,11.71,33.9,34.38,8.27,8.16,8.62,7.83,1.43,1.17,3.57,5.28,2.84,4.61,23.82,97.2,30.23,107.09,185.73,156.04,9.36,16.83,13.85,19.68,66.68,282.95,3.48,4.3,1.06,1.89,9.55
2017,동해,강구항,16.93,15.71,33.22,33.81,8.3,8.3,9.68,9.45,1.73,1.48,6.07,6.35,2.63,2.31,90.54,25.37,99.24,34.02,221.84,207.75,7.11,9.9,15.22,15.4,264.8,120.85,7.88,7.28,2.03,2.67,3.5
2017,동해,포항 구항,17.87,15.32,33.2,33.8,8.25,8.22,9.03,8.21,1.86,1.43,16.43,14.68,9.53,4.63,54.63,35.37,80.58,54.68,393.97,179.62,9.65,11.92,19.24,18.75,177.79,215.39,7.99,7.41,5.86,2.38,3.75
